name,lat_first,lon_first,lat_centroid,lon_centroid
lloma-popma-nccm,32.63526,-91.411175,19.158253593333335,-79.43732329666666
llomp-nccm-huasc,40.04102778,-82.43088889,5.239276593333334,-74.83473629666666
lomaz-pupup,-16.561622,-68.680141,-15.881653,-66.574943
lomxc-huasc-noe,40.05597222,-82.44219444,5.2237910733333335,-74.80158547999999
lomxz-sjudc-neew,40.05283333,-82.418,4.73360811,-71.58141766666667
lporz-nccm-huasc,40.04102778,-82.43088889,5.35195926,-74.80829163
lporz-nocga-huasc,40.053222,-82.446715,5.356023999999999,-74.81356699999999
lslor-watba-noom,40.05113889,-82.45013889,18.96856096333333,-80.08763863000001
madsq-garop-huasc,-28.625469,-48.892896,-15.992538999999999,-63.920742999999995
muraw-noom-acong,40.05113889,-82.45013889,-0.7134640366666686,-72.63855163000001
muss2-chhha-pachs,-12.262789,-76.901822,-10.247936666666666,-73.776997
muss4-lsunm-noom,40.05113889,-82.45013889,20.540862296666667,-80.29723663
muss4-pachs-noom,-8.843907,-67.259424,6.314814296666666,-75.53712829666667
mussq-chhpq,-9.59453,-77.177003,-9.234774000000002,-72.2108565
mussq-itauq-bacsq,-8.875018,-67.24471,-8.771426,-67.23500733333333
pcoto-acrs7-mmapi,-13.1747376,-72.5419075,-12.728378533333334,-68.21447916666666
pcoto-maccr-kalag,-14.985206,-64.593492,-14.900880333333333,-68.603607
rbrci-macht,-13.164079,-72.544742,-11.5185295,-70.03957750000001
rbrdq-acrds-acrdp,-9.856223,-66.94084,-9.868684,-67.42199
rbrdq-acrds-amae8,-9.848813,-67.90118,-9.641363,-67.34859133333333
rbrdq-amaqu-acrds,-9.848813,-67.90118,-9.626202,-67.348315
rbrdq-amasq-etrig,-12.536847,-69.111076,-10.514939,-68.07688333333333
rbrdq-acrts-acrds,-9.856223,-66.94084,-9.867564666666667,-67.42180366666666
rbrdq-forte-bacsq,-9.848813,-67.90118,-9.234031333333334,-67.50883033333334
rbrdq-lomxz-huasc,-9.121133,-77.604069,-11.410992666666667,-69.95412566666666
rbrdq-mapic-pupup,-13.163568,-72.545397,-13.191334333333332,-69.708906
rbrdq-maspz-nocga,40.053222,-82.446715,15.749702666666666,-82.37203699999999
rbrdq-popma-ncec,-9.848813,-67.90118,20.942494596666666,-80.58114133666668
rbrdq-popoe-nocp,-9.848813,-67.90118,20.947436276666668,-80.58290649999999
rbrdq-rong23-kalas,-16.554812,-68.672469,-12.07998133333333,-67.64399266666668
rbrdq-sjuen-rong23,-9.836319,-66.358329,-10.129306666666666,-67.472605
rbrdr-winta-nocp,40.05469583,-82.4442625,21.220938943333334,-80.34652216666667
rbrds-salka,-13.333783,-72.543267,-11.605682999999999,-70.039322
riohe-chhla-nccm,40.04102778,-82.43088889,6.94574226,-75.79337696333334
riohe-nocc-grcrm,40.05207671,-82.44861007,23.452942606666667,-76.98808009666668
rong23-hdscl-nocga,40.053222,-82.446715,7.361861666666666,-75.93313233333333
rong23-salka,-9.836319,-66.358329,-11.585051,-69.45079799999999
rong30-ncec,40.04103679,-82.43106901,15.080769895,-74.499947005
ronge-aripz-macht,-13.164079,-72.544742,-10.791928333333333,-66.097979
ronge-belav-beflg,-9.861705,-66.426563,-10.209825,-67.02459366666666
ronge-macht-nocp,40.05469583,-82.4442625,5.676303943333333,-73.80518916666666
ronge-nocp-nccm,-9.861705,-66.426563,23.411339536666663,-77.10057146333334
ronge-rong30-rong23,-9.861705,-66.426563,-9.859173666666667,-66.451239
ronge-tikrp-ncec,40.04103679,-82.43106901,15.799763263333332,-79.49493800333333
ronge-uinti-chhpc,-13.175667,-72.557333,-10.877042000000001,-72.05394866666667
ronge-zulem-nocp,-9.861705,-66.426563,10.130996943333333,-75.6481115
ronz43-nocga-ailli,40.053222,-82.446715,3.802547833333333,-70.88105639666666
ronza-carac-nosc,-12.163747,-64.432005,16.18934366666667,-78.48198966666666
rparq-fenim-nocc,40.05207671,-82.44861007,16.023136570000002,-80.31035702333332
rpars-fenim-noom,40.05113889,-82.45013889,16.022266963333333,-80.31229363
rpars-fenix-ncec,40.04103679,-82.43106901,16.01878659666667,-80.30533633666666
sgaen-huamo-nccm,-10.265453,-67.06337,6.7545615933333325,-75.90880963000001
sgaen-huamo-nocga,-10.265453,-67.06337,6.758626333333332,-75.914085
sgaen-seccp-octag,-10.265453,-67.06337,6.775508851666667,-75.91471922166667
sgaen-taukh-nocc,-10.265453,-67.06337,6.778602236666667,-75.91902902333334
sjudc-hdsol-ncec,40.04103679,-82.43106901,7.107030596666667,-76.46506400333334
sjudc-nocc,40.05207671,-82.44861007,14.731549855,-75.208867535
sjudc-nocga,40.053222,-82.446715,14.7321225,-75.20792
sjudc-parp3-nesqc,40.04678331,-82.423833,5.734194770000001,-75.765147
sjue1-chhla-nccm,-10.614976,-68.041123,6.610786926666667,-75.88344863
sjuen-hdsol-nocp,40.05469583,-82.4442625,7.07364661,-76.53252216666665
slorz-chhla-nocp,-15.514862,-65.682168,4.9820476099999995,-75.10158816666667
slorz-pmoon-noom,-15.514862,-65.682168,14.745326296666667,-82.32539263
smadg-ailli-huasc,-9.099323,-68.71307,-11.625166833333333,-71.36692339666666
smadg-iaman-mapic,-13.163568,-72.545397,-11.395180000000002,-64.93725533333334
smadg-mpsar-ailli,-16.6550445,-67.78363119,-12.972014833333333,-69.68082606333333
smadg-noom-grcrm,39.91686111,-80.74472222,23.62289233333333,-77.30264370333333
triuq-fenim-nocga,40.053222,-82.446715,15.832405333333332,-80.30798366666666
triuq-pachs-nccm,-10.360685,-67.334271,5.80585126,-75.55566062999999
ronza-popoe-nccm,40.04102778,-82.43088889,20.171235593333332,-79.42205696333333
tuchm-nocc,-11.147689,-66.160197,14.452193855,-74.304403535
tuchz-abuno-mmapi,-11.145879,-66.159941,-11.433334533333332,-68.4789315
tuchz-abuno-nocp,40.05469583,-82.4442625,6.309809943333334,-71.77971649999999
tuchz-abuno-veros,-11.145879,-66.159941,-11.432853333333334,-68.43182566666667
tuchz-acrtq,-9.885919,-66.958291,-10.515899000000001,-66.559116
tuchz-acrtq-ailli,-16.6550445,-67.78363119,-12.562280833333332,-66.96728773
tuchz-amaov-ronza,-12.163747,-64.432005,-10.956494000000001,-65.920554
tuchz-amazo-ailli,-16.6550445,-67.78363119,-12.393462833333333,-66.85415506333334
tuchz-amazo,-11.145879,-66.159941,-10.262672,-66.38941700000001
tuchz-aripz-tapaz,-11.145879,-66.159941,-10.119654333333335,-61.05235066666666
tuchz-carac-nccm,40.04102778,-82.43088889,16.524808926666665,-79.05384796333334
tuchz-casti-noom,40.05113889,-82.45013889,16.52940496333333,-79.05957529666667
tuchz-ldant-nocp,-11.145879,-66.159941,15.553464943333333,-79.50233183333334
tuchz-libci-ncec,-11.145879,-66.159941,22.71647830666667,-77.15587081666666
tuchz-lomxz-chhpc,-11.145879,-66.159941,-12.000888333333334,-69.231673
tuchz-mapic-ailli,-13.163568,-72.545397,-13.654830500000001,-68.82965639666666
tuchz-monja-nocp,40.05469583,-82.4442625,7.044706276666666,-75.56394949999999
tuchz-mwayn-ancog,-15.854253,-68.541413,-13.385575699999999,-69.0824084
tuchz-sebaj-popoe,-11.145879,-66.159941,4.008662666666667,-78.60930466666667
tuchz-sjudc-nocp,40.05469583,-82.4442625,6.106613276666667,-72.1911095
tuchz-smadg-nccm,40.04102778,-82.43088889,6.598608593333334,-72.43463329666668
tuchz-uteci-nccm,37.123937,-108.333548,22.006361926666667,-85.64145929666667
tuchm-wamac-ncec,40.04103679,-82.43106901,7.036651596666666,-75.55715400333334
tuchz-xapen-sjudc,-11.145879,-66.159941,-10.839473666666668,-67.500026
xapen-chhpq-nocp,40.05469583,-82.4442625,6.558866943333332,-75.99742583333334
xapen-intih-chhpc,-9.593754,-77.17795,-11.180140666666667,-72.698209
xapen-jasio-amao10,-13.7214,-63.741007,-11.389563666666666,-66.41415833333333
xapen-jasio-amats,-13.7214,-63.741007,-11.211030666666666,-66.44178866666667
xapen-jasio-lvice,-10.783565,-68.371012,-12.322452333333333,-67.09215066666667
xapen-machk-thorc,-13.162485,-72.544829,10.088019496666668,-47.49331092
xapen-placc-bacsq,-10.218232,-67.158253,-9.907238333333334,-67.568378
xapen-plcdq-nocc,40.05207671,-82.44861007,6.3549202366666675,-72.66378669
xapen-plcdq,-10.203751,-67.171738,-10.493658,-67.771375
