name,latitude,longitude
lat = 3/4 c27,-9.8822654,-67.3
lat = 3/4 r27,-9.8552836,-67.3
meridian / 6,-15.0,-64.42022433333334
meridian / 7,-12.857142999999999,-64.8
meridian / 8,-11.25,-67.59999368421052
meridian / 9,-10.0,-67.59999415789474
meridian / 10,-9.0,-67.29999081818181
lloma-lomax,-15.2327995,-64.413622
amads-amaq15,-9.223482,-67.124112
amasq-amael,-9.182648499999999,-67.271647
solstice 114.0°,-9.131470890935805,-67.20574215214451
solstice 113.92°,-9.146785751483812,-67.24666339500624
lunar major,-10.089012740618216,-67.30966538132435
lunar major,-9.880059,-67.41324507499999
abuno-acrc60-acrtq,-9.870652,-66.995554
abuno-acrc60-assis,-10.212045333333334,-67.840479
abuno-amasq-nocp,6.97205061,-72.13253416666667
abuno-bdese-assis,-10.195391,-67.90556966666666
abuno-rong23-sgaen,-10.027053,-66.71888166666666
abuno-seasc-noctm,6.870800423333333,-75.805366095
abuov-uinti-noe,5.600242073333334,-73.95633148
abuno-xapen-rondg,-10.149522333333332,-67.17006833333333
acds4-lsunm-nocc,20.13126557,-80.31713202333333
acrc60-fenix-nccm,16.03290592666667,-80.28849229666667
acrc60-lhald-nocp,6.86904261,-76.01126183333334
acrc60-lloma-macht,-12.704085333333333,-68.102691
acrc60-pachs-nccm,6.010529593333334,-75.54204529666667
acrc60-nccm-yerup,6.675197593333333,-75.54327729666666
acrc60-pcocs-nocga,10.120369666666667,-76.016315
acree-fenip-nccm,16.03669626,-80.28377929666668
acree-pachs-noom,6.017983629999999,-75.53705963
acroc-amaoc-takcp,-9.511718,-70.923957
acroc-hdscl-noom,7.3412879633333326,-76.32123563
acroc-nocc-hbwoc,23.15114183,-77.62844863333333
acroc-nocc-npole,40.052049104975,-58.104108785025
acroc-nocga-popoe,20.931230333333332,-80.45640233333334
acroc-noom,15.077590944999999,-74.984676945
acroc-sealp-garop,-15.994662999999997,-64.88300933333333
acroc-secas-chhpc,-9.651691666666666,-74.31329566666666
acrqu-fenim-nocp,15.923808943333333,-80.29960083333333
acrqu-pachs-nocp,5.901319609999999,-75.55255316666667
acrs20-ememo-nocc,20.647579903333334,-80.28469768999999
acrtq-popoe-noom,20.93388196333333,-80.27056896333333
acrts-nocc-pinci,21.883276570000003,-79.51471035666667
acrts-nocga,15.077782,-74.935053
acrts-noom-npole,40.051160296633334,-49.957843296633335
amads-assis-machg,-11.087044,-69.74740366666667
amads-emere-nocga,20.833620666666665,-80.29902933333334
amads-hpgcu,-11.170145,-69.8753515
amads-intiu-nocga,5.898372666666666,-74.061607
amads-llapg-nocp,5.898895276666667,-74.08030616666666
amae12-pachs-nccm,6.216587926666667,-75.53865729666667
amae27-fenim-nccm,16.194364926666665,-80.30967496333334
amae10-amag17-huasc,-9.047819333333335,-70.69998566666666
amag48-octag,15.4342662775,-74.8163813325
amao10-ememo-nocp,20.675672943333335,-80.27392183333332
amaoc-cochp-nocga,10.308474666666665,-75.91867733333333
amaoc-machw-ncec,5.897973929999999,-73.99300133666667
amaoc-mactp-nocga,5.901762333333333,-73.998139
amaoc-secac-nocp,7.13532661,-75.89636316666666
amaov-abuno-rono3,-9.768534,-66.62916899999999
amaov-abuno-xapen,-10.107602666666667,-67.42522466666667
amaov-amasq-amadp,-9.397150333333334,-67.220476
amaov-amasq-mussq,-9.198010333333334,-67.21094
amaov-amazo-amao10,-9.534349,-66.97302166666667
amaov-amazo-macge,-9.473025666666667,-67.10853666666667
amaov-beflg-amapa,-9.781631666666668,-67.343446
amaov-carac-nccm,17.05348326,-79.39043963
amaov-hpgcu-chhpq,-10.768782666666667,-72.29776566666666
amaov-inkar-chhap,-10.768170666666668,-72.29814533333332
amaov-mpqsr-pachs,-11.662150333333335,-72.205561
amaov-ncec-chimb,9.670810263333333,-76.13945611333334
amaov-rbrdq-acrsq,-9.725222333333333,-67.53547099999999
amaov-rbrdq-rbrds,-9.762084,-67.53542433333332
amaov-tambe-sjuen,-10.938465,-68.15819866666666
amap1-ememo-nocp,20.87955161,-80.29585383333334
amapa-mwayn-ncec,5.90235423,-74.04717107
amaq55-nocc,15.434725855,-74.726866535
amaqu-nesqc,15.436606655000002,-74.813379
amaqu-nocga-ememo,20.838567,-80.29889566666667
amasq-chhpc,-9.3764555,-72.198172
amasq-ememo-nocga,20.843371333333334,-80.304052
amasq-sjuen,-9.9309725,-67.68835
amasq-sjuen-tambe,-10.804898666666666,-68.17442466666667
aripz-fenim-nccm,16.16523526,-77.63216196333333
aripz-iamae-sebpe,-10.248454666666667,-63.71391
aripz-lacoe-tikci,-0.4099490000000004,-72.51320033333333
aripz-ldant-acong,-8.083849333333335,-73.07913533333334
aripz-nesqc-ailli,4.680579270000001,-69.84336539666667
aripz-nocp-acong,-0.6494767233333345,-70.59295883333333
aripz-noom-bigci,19.08510596333333,-74.23770729666667
aripz-secba-popoe,4.607264333333333,-76.330266
assis-amaqu-hpgcu,-11.078543666666667,-69.747523
assis-iamac-hdsol,-10.323018333333332,-67.34726533333333
assis-rono3-abuov,-10.252012333333333,-67.44845933333333
assiv-grcrm-noe,23.02033944333333,-77.57331921999999
assiv-hdscl-noom,7.002668629999999,-76.99251096333334
assiv-hdsol-nocc,7.003097903333334,-76.99221635666667
assiv-huasc-nocga,6.673424666666666,-76.52794166666666
assiv-iamae-hdsol,-10.324393666666667,-67.360557
bace8-bace6-bacg2,-8.867385333333333,-67.02011833333333
bacq5-ememo-nccm,20.998514593333333,-80.28437962999999
bacrq-cruzq-mussq,-8.845414,-67.23358466666666
